Airport_ID,Name,Type,IATA
874,Whatì Airport,small_airport,YLE
890,Grande Cache Airport,small_airport,YGC
892,Drayton Valley Industrial Airport,small_airport,YDC
893,Fort McMurray / Mildred Lake Airport,small_airport,NML
898,Conklin (Leismer) Airport,small_airport,CFM
910,St. Paul Airport,small_airport,ZSP
925,Taltheilei Narrows Airport,small_airport,GSL
933,Macmillan Pass Airport,small_airport,XMP
944,Great Bear Lake Airport,small_airport,DAS
46534,Fort Mackay / Firebag,small_airport,YFI
954,Wekweètì Airport,small_airport,YFJ
964,Donnelly Airport,small_airport,YOE
982,Cheadle Airport,small_airport,TIL
32110,Okoyo Airport,small_airport,OKG
46172,Cape Gloucester Airport,small_airport,CGC
312504,Casiguran Airport,small_airport,CGG
44373,Gahcho Kue,small_airport,GHK
312503,Chinguetti Airport,closed,CGT
16713,Circle Hot Springs Airport,small_airport,CHP
312506,Chomley Seaplane Base,seaplane_base,CIV
1058,Laurie River Airport,small_airport,LRQ
1088,Hatchet Lake Airport,small_airport,YDJ
1092,Kasba Lake Airport,small_airport,YDU
28228,Fort Reliance Seaplane Base,seaplane_base,YFL
1121,Cluff Lake Airport,small_airport,XCL
1126,Knee Lake Airport,small_airport,YKE
1139,Summer Beaver Airport,small_airport,SUR
16716,Crooked Creek Airport,small_airport,CKD
1151,Tisdale Airport,small_airport,YTT
1162,Wapekeka Airport,small_airport,YAX
1200,Wunnumin Lake Airport,small_airport,WNN
1211,Opapimiskan Lake Airport,small_airport,YBS
1218,North Spirit Lake Airport,small_airport,YNO
312535,Crane Island Airstrip,small_airport,CKR
16717,Cordova Municipal Airport,small_airport,CKU
1244,North of Sixty Airport,small_airport,YDW
16718,Chicken Airport,small_airport,CKX
312536,Clear Lake Metroport,closed,CLC
316486,New Cametá Airport,small_airport,CMT
311902,Caia Airport,small_airport,CMZ
43975,Tangshan Sannühe Airport,small_airport,TVS
332178,Duplicate --Yantai Penglai International Airport,medium_airport,YNT
44127,Yuanmou Air Base,medium_airport,YUA
44100,Zhangjiakou Ningyuan Airport,medium_airport,ZQZ
44103,Baoshan Yunduan Airport,medium_airport,BSD
44110,Dazu Air Base,small_airport,DZU
44116,Lintsang Airfield,medium_airport,LNJ
44122,Shigatse Air Base,medium_airport,RKZ
44126,Bao'anying Airport,medium_airport,PZI
323879,Zigong Airport,small_airport,ZKL
44139,Foshan Shadi Airport,medium_airport,FUO
323881,Bazhong Enyang Airport,small_airport,BZX
323907,Xinyang Minggang Airport,medium_airport,XAI
44146,Huizhou Airport,medium_airport,HUZ
44157,Shaoguan Guitou Airport,medium_airport,HSC
44159,Jinggangshan Airport,medium_airport,JGS
44160,Baise Youjiang Airport,medium_airport,AEB
44169,Dongying Shengli Airport,medium_airport,DOY
44182,Xingcheng Air Base,medium_airport,XEN
44191,Altay Air Base,medium_airport,AAT
44208,Tianshui Maijishan Airport,medium_airport,THQ
44221,Zhangye Ganzhou Airport,medium_airport,YZY
44267,Dandong Airport,medium_airport,DDG
32048,Nantong Airport,small_airport,NTG
1299,Bearskin Lake Airport,small_airport,XBE
1308,Natuashish Airport,small_airport,YNP
28467,White River Seaplane Base,seaplane_base,YWR
1314,Parry Sound Area Municipal Airport,small_airport,YPD
1317,Brockville - Thousand Islands Regional Tackaberry Airport,small_airport,XBR
1324,Kingfisher Lake Airport,small_airport,KIF
1343,Ogoki Post Airport,small_airport,YOG
30652,El Troncal Airport,small_airport,ARQ
