Airport_ID,Name,Type,City,Country_Code,IATA,Latitude,Longitude,Altitude
9776,Eagle Air Park,small_airport,Brazoria,US,BZT,28.982200622559,-95.579696655273,15
9902,Entrance Island Seaplane Base,seaplane_base,Entrance Island,US,HBH,57.412201,-133.43848,0
10309,Blakely Island Airport,small_airport,Blakely Island,US,BYW,48.578998565700005,-122.825996399,66
10366,Drift River Airport,small_airport,Kenai,US,DRF,60.588901519800004,-152.162002563,30
10532,Rinkenberger Restricted Landing Area,small_airport,Bradford,US,BDF,41.230899810800004,-89.61569976810001,808
10856,Roy Otten Memorial Airfield,small_airport,Versailles,US,VRS,38.427799224854,-92.875198364258,1030
10905,Golden Horn Lodge Seaplane Base,seaplane_base,Golden Horn Lodge,US,GDH,59.7470016479,-158.875,91
11318,Atmautluak Airport,small_airport,Atmautluak,US,ATT,60.866699,-162.272995,17
11320,Livengood Camp Airport,small_airport,Livengood,US,LIV,65.467,-148.6534,425
11485,Pedro Bay Airport,small_airport,Pedro Bay,US,PDB,59.7896003723,-154.12399292,45
11487,Ouzinkie Airport,small_airport,Ouzinkie,US,KOZ,57.925362,-152.496715,55
11488,Tununak Airport,small_airport,Tununak,US,TNK,60.575500488281,-165.27200317383,14
11728,Ben Bruce Memorial Airpark,closed,Evadale,US,EVA,30.3209991455,-94.07350158690001,44
11900,Minto Al Wright Airport,small_airport,Minto,US,MNT,65.1437,-149.369995,460
12243,Aleknagik / New Airport,medium_airport,Aleknagik,US,WKK,59.2826004028,-158.617996216,66
